ch.qos.logback,logback-core,1.1.2,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,1.1.1,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,1.1.0,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,1.0.13,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,1.0.12,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,1.0.11,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,1.0.10,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,1.0.9,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,1.0.8,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,1.0.7,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,1.0.6,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,1.0.5,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,1.0.4,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,1.0.3,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,1.0.2,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,1.0.1,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,1.0.0,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9.30,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9.29,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9.28,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9.27,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9.26,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9.25,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9.24,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9.23,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9.22,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9.21,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9.20,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9.19,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9.18,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9.17,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9.16,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9.15,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9.14,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9.13,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9.12,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9.11,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9.10,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9.9,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9.8,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9.7,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9.6,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9.5,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9.4,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9.3,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9.2,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9.1,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.9,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.8.1,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.8,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.7.1,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.7,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.6,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.5,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.3,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,0.2.5,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
junit,junit,4.12,"[['CVE-2020-15250', '5.5', 'MEDIUM']]",5.5,5.5
junit,junit,4.10,"[['CVE-2020-15250', '5.5', 'MEDIUM']]",5.5,5.5
junit,junit,4.8.2,"[['CVE-2020-15250', '5.5', 'MEDIUM']]",5.5,5.5
commons-io,commons-io,2.5,"[['CVE-2021-29425', '4.8', 'MEDIUM']]",4.8,4.8
commons-io,commons-io,2.4,"[['CVE-2021-29425', '4.8', 'MEDIUM']]",4.8,4.8
junit,junit,4.11,"[['CVE-2020-15250', '5.5', 'MEDIUM']]",5.5,5.5
commons-io,commons-io,2.1,"[['CVE-2021-29425', '4.8', 'MEDIUM']]",4.8,4.8
commons-io,commons-io,2.0.1,"[['CVE-2021-29425', '4.8', 'MEDIUM']]",4.8,4.8
junit,junit,4.7,"[['CVE-2020-15250', '5.5', 'MEDIUM']]",5.5,5.5
com.google.guava,guava,18.0,"[['CVE-2020-8908', '3.3', 'LOW'], ['CVE-2018-10237', '5.9', 'MEDIUM']]",4.6,9.2
org.apache.ant,ant,1.7.1,"[['CVE-2020-1945', '6.3', 'MEDIUM'], ['CVE-2021-36373', '5.5', 'MEDIUM'], ['CVE-2021-36374', '5.5', 'MEDIUM'], ['CVE-2020-11979', '7.5', 'HIGH']]",6.2,24.8
org.scala-lang,scala-compiler,2.12.2,"[['CVE-2017-15288', '7.8', 'HIGH']]",7.8,7.8
org.scala-lang,scala-compiler,2.12.1,"[['CVE-2017-15288', '7.8', 'HIGH']]",7.8,7.8
org.scala-lang,scala-compiler,2.12.0,"[['CVE-2017-15288', '7.8', 'HIGH']]",7.8,7.8
org.scala-lang,scala-compiler,2.12.3,"[['CVE-2017-15288', '7.8', 'HIGH']]",7.8,7.8
commons-io,commons-io,1.3.2,"[['CVE-2021-29425', '4.8', 'MEDIUM']]",4.8,4.8
org.eclipse.jetty,jetty-server,8.1.8.v20121106,"[['CVE-2017-7656', '7.5', 'HIGH'], ['CVE-2019-10241', '6.1', 'MEDIUM'], ['CVE-2021-34428', '3.5', 'LOW'], ['CVE-2015-2080', '7.5', 'HIGH'], ['CVE-2017-7657', '9.8', 'CRITICAL'], ['CVE-2019-10247', '5.3', 'MEDIUM']]",6.616666666666667,39.7
org.eclipse.jetty,jetty-webapp,8.1.8.v20121106,"[['CVE-2020-27216', '7.0', 'HIGH']]",7.0,7.0
org.scala-lang,scala-compiler,2.11.8,"[['CVE-2017-15288', '7.8', 'HIGH']]",7.8,7.8
org.scala-lang,scala-compiler,2.11.7,"[['CVE-2017-15288', '7.8', 'HIGH']]",7.8,7.8
org.scala-lang,scala-compiler,2.11.6,"[['CVE-2017-15288', '7.8', 'HIGH']]",7.8,7.8
org.scala-lang,scala-compiler,2.11.4,"[['CVE-2017-15288', '7.8', 'HIGH']]",7.8,7.8
org.scala-lang,scala-compiler,2.11.2,"[['CVE-2017-15288', '7.8', 'HIGH']]",7.8,7.8
org.scala-lang,scala-compiler,2.11.5,"[['CVE-2017-15288', '7.8', 'HIGH']]",7.8,7.8
org.scala-lang,scala-compiler,2.11.1,"[['CVE-2017-15288', '7.8', 'HIGH']]",7.8,7.8
org.scala-lang,scala-compiler,2.11.0,"[['CVE-2017-15288', '7.8', 'HIGH']]",7.8,7.8
ch.qos.logback,logback-classic,1.1.2,"[['CVE-2017-5929', '9.8', 'CRITICAL']]",9.8,9.8
org.scala-lang,scala-compiler,2.10.3,"[['CVE-2017-15288', '7.8', 'HIGH']]",7.8,7.8
org.scala-lang,scala-compiler,2.10.4,"[['CVE-2017-15288', '7.8', 'HIGH']]",7.8,7.8
ch.qos.logback,logback-classic,1.0.7,"[['CVE-2017-5929', '9.8', 'CRITICAL']]",9.8,9.8
org.scala-lang,scala-compiler,2.10.0,"[['CVE-2017-15288', '7.8', 'HIGH']]",7.8,7.8
org.scala-lang,scala-compiler,2.9.1,"[['CVE-2017-15288', '7.8', 'HIGH']]",7.8,7.8
org.eclipse.jetty,jetty-server,8.0.1.v20110908,"[['CVE-2017-7656', '7.5', 'HIGH'], ['CVE-2019-10241', '6.1', 'MEDIUM'], ['CVE-2021-34428', '3.5', 'LOW'], ['CVE-2015-2080', '7.5', 'HIGH'], ['CVE-2017-7657', '9.8', 'CRITICAL'], ['CVE-2019-10247', '5.3', 'MEDIUM']]",6.616666666666667,39.7
org.eclipse.jetty,jetty-webapp,8.0.1.v20110908,"[['CVE-2020-27216', '7.0', 'HIGH']]",7.0,7.0
org.scala-lang,scala-compiler,2.9.2,"[['CVE-2017-15288', '7.8', 'HIGH']]",7.8,7.8
org.scala-lang,scala-compiler,2.10.0-RC2,"[['CVE-2017-15288', '7.8', 'HIGH']]",7.8,7.8
org.scala-lang,scala-compiler,2.10.0-RC5,"[['CVE-2017-15288', '7.8', 'HIGH']]",7.8,7.8
org.scala-lang,scala-compiler,2.10.0-RC1,"[['CVE-2017-15288', '7.8', 'HIGH']]",7.8,7.8
org.scala-lang,scala-compiler,2.10.0-M7,"[['CVE-2017-15288', '7.8', 'HIGH']]",7.8,7.8
org.scala-lang,scala-compiler,2.10.0-M6,"[['CVE-2017-15288', '7.8', 'HIGH']]",7.8,7.8
org.scala-lang,scala-compiler,2.10.0-M5,"[['CVE-2017-15288', '7.8', 'HIGH']]",7.8,7.8
org.scala-lang,scala-compiler,2.10.0-M4,"[['CVE-2017-15288', '7.8', 'HIGH']]",7.8,7.8
org.scala-lang,scala-compiler,2.9.0,"[['CVE-2017-15288', '7.8', 'HIGH']]",7.8,7.8
org.scala-lang,scala-compiler,2.8.2,"[['CVE-2017-15288', '7.8', 'HIGH']]",7.8,7.8
org.scala-lang,scala-compiler,2.8.1,"[['CVE-2017-15288', '7.8', 'HIGH']]",7.8,7.8
log4j,log4j,1.2.16,"[['CVE-2019-17571', '9.8', 'CRITICAL'], ['CVE-2022-23302', '8.8', 'HIGH'], ['CVE-2022-23305', '9.8', 'CRITICAL'], ['CVE-2021-4104', '7.5', 'HIGH']]",8.975000000000001,35.900000000000006
log4j,log4j,1.2.14,"[['CVE-2019-17571', '9.8', 'CRITICAL'], ['CVE-2022-23302', '8.8', 'HIGH'], ['CVE-2022-23305', '9.8', 'CRITICAL'], ['CVE-2021-4104', '7.5', 'HIGH']]",8.975000000000001,35.900000000000006
log4j,log4j,1.2.13,"[['CVE-2019-17571', '9.8', 'CRITICAL'], ['CVE-2022-23302', '8.8', 'HIGH'], ['CVE-2022-23305', '9.8', 'CRITICAL'], ['CVE-2021-4104', '7.5', 'HIGH']]",8.975000000000001,35.900000000000006
com.fasterxml.jackson.core,jackson-databind,2.13.1,"[['CVE-2020-36518', '7.5', 'HIGH']]",7.5,7.5
org.springframework,spring-core,5.3.14,"[['CVE-2022-22968', '5.3', 'MEDIUM'], ['CVE-2022-22965', '9.8', 'CRITICAL'], ['CVE-2022-22950', '6.5', 'MEDIUM']]",7.2,21.6
com.fasterxml.jackson.core,jackson-databind,2.12.5,"[['CVE-2020-36518', '7.5', 'HIGH']]",7.5,7.5
org.springframework,spring-core,5.3.10,"[['CVE-2021-22060', '4.3', 'MEDIUM'], ['CVE-2022-22968', '5.3', 'MEDIUM'], ['CVE-2022-22965', '9.8', 'CRITICAL'], ['CVE-2022-22950', '6.5', 'MEDIUM']]",6.475,25.9
com.fasterxml.jackson.core,jackson-databind,2.12.3,"[['CVE-2020-36518', '7.5', 'HIGH']]",7.5,7.5
org.springframework,spring-core,5.3.8,"[['CVE-2021-22060', '4.3', 'MEDIUM'], ['CVE-2022-22968', '5.3', 'MEDIUM'], ['CVE-2022-22965', '9.8', 'CRITICAL'], ['CVE-2022-22950', '6.5', 'MEDIUM']]",6.475,25.9
com.fasterxml.jackson.core,jackson-databind,2.12.1,"[['CVE-2020-36518', '7.5', 'HIGH']]",7.5,7.5
com.fasterxml.jackson.core,jackson-databind,2.11.3,"[['CVE-2020-36518', '7.5', 'HIGH']]",7.5,7.5
junit,junit,4.13,"[['CVE-2020-15250', '5.5', 'MEDIUM']]",5.5,5.5
com.google.guava,guava,29.0-jre,"[['CVE-2020-8908', '3.3', 'LOW']]",3.3,3.3
commons-io,commons-io,2.6,"[['CVE-2021-29425', '4.8', 'MEDIUM']]",4.8,4.8
com.google.guava,guava,28.2-jre,"[['CVE-2020-8908', '3.3', 'LOW']]",3.3,3.3
com.google.guava,guava,28.1-jre,"[['CVE-2020-8908', '3.3', 'LOW']]",3.3,3.3
com.google.guava,guava,27.1-jre,"[['CVE-2020-8908', '3.3', 'LOW']]",3.3,3.3
com.google.guava,guava,25.0-jre,"[['CVE-2020-8908', '3.3', 'LOW']]",3.3,3.3
com.google.guava,guava,24.0-jre,"[['CVE-2020-8908', '3.3', 'LOW'], ['CVE-2018-10237', '5.9', 'MEDIUM']]",4.6,9.2
com.google.guava,guava,20.0,"[['CVE-2020-8908', '3.3', 'LOW'], ['CVE-2018-10237', '5.9', 'MEDIUM']]",4.6,9.2
junit,junit,4.9,"[['CVE-2020-15250', '5.5', 'MEDIUM']]",5.5,5.5
junit,junit,4.8.1,"[['CVE-2020-15250', '5.5', 'MEDIUM']]",5.5,5.5
org.apache.pdfbox,pdfbox,2.0.9,"[['CVE-2018-11797', '5.5', 'MEDIUM'], ['CVE-2021-27906', '5.5', 'MEDIUM'], ['CVE-2021-31811', '5.5', 'MEDIUM'], ['CVE-2021-27807', '5.5', 'MEDIUM'], ['CVE-2021-31812', '5.5', 'MEDIUM']]",5.5,27.5
org.springframework,spring-core,5.3.18,"[['CVE-2022-22968', '5.3', 'MEDIUM']]",5.3,5.3
org.springframework,spring-beans,5.3.17,"[['CVE-2022-22965', '9.8', 'CRITICAL']]",9.8,9.8
org.springframework,spring-core,5.3.17,"[['CVE-2022-22968', '5.3', 'MEDIUM'], ['CVE-2022-22965', '9.8', 'CRITICAL']]",7.550000000000001,15.100000000000001
org.springframework,spring-beans,5.3.16,"[['CVE-2022-22965', '9.8', 'CRITICAL']]",9.8,9.8
org.springframework,spring-core,5.3.16,"[['CVE-2022-22968', '5.3', 'MEDIUM'], ['CVE-2022-22965', '9.8', 'CRITICAL']]",7.550000000000001,15.100000000000001
org.springframework,spring-beans,5.3.15,"[['CVE-2022-22965', '9.8', 'CRITICAL']]",9.8,9.8
org.springframework,spring-core,5.3.15,"[['CVE-2022-22968', '5.3', 'MEDIUM'], ['CVE-2022-22965', '9.8', 'CRITICAL'], ['CVE-2022-22950', '6.5', 'MEDIUM']]",7.2,21.6
org.springframework,spring-beans,5.3.14,"[['CVE-2022-22965', '9.8', 'CRITICAL']]",9.8,9.8
org.springframework,spring-beans,5.3.13,"[['CVE-2022-22965', '9.8', 'CRITICAL']]",9.8,9.8
org.springframework,spring-core,5.3.13,"[['CVE-2021-22060', '4.3', 'MEDIUM'], ['CVE-2022-22968', '5.3', 'MEDIUM'], ['CVE-2022-22965', '9.8', 'CRITICAL'], ['CVE-2022-22950', '6.5', 'MEDIUM']]",6.475,25.9
org.springframework,spring-beans,5.3.12,"[['CVE-2022-22965', '9.8', 'CRITICAL']]",9.8,9.8
org.springframework,spring-core,5.3.12,"[['CVE-2021-22060', '4.3', 'MEDIUM'], ['CVE-2022-22968', '5.3', 'MEDIUM'], ['CVE-2022-22965', '9.8', 'CRITICAL'], ['CVE-2022-22950', '6.5', 'MEDIUM']]",6.475,25.9
org.springframework,spring-beans,5.3.11,"[['CVE-2022-22965', '9.8', 'CRITICAL']]",9.8,9.8
org.springframework,spring-core,5.3.11,"[['CVE-2021-22060', '4.3', 'MEDIUM'], ['CVE-2022-22968', '5.3', 'MEDIUM'], ['CVE-2022-22965', '9.8', 'CRITICAL'], ['CVE-2022-22950', '6.5', 'MEDIUM']]",6.475,25.9
org.springframework,spring-beans,5.3.10,"[['CVE-2022-22965', '9.8', 'CRITICAL']]",9.8,9.8
org.springframework,spring-beans,5.3.9,"[['CVE-2022-22965', '9.8', 'CRITICAL']]",9.8,9.8
org.springframework,spring-core,5.3.9,"[['CVE-2021-22060', '4.3', 'MEDIUM'], ['CVE-2022-22968', '5.3', 'MEDIUM'], ['CVE-2022-22965', '9.8', 'CRITICAL'], ['CVE-2022-22950', '6.5', 'MEDIUM']]",6.475,25.9
org.springframework,spring-beans,5.3.8,"[['CVE-2022-22965', '9.8', 'CRITICAL']]",9.8,9.8
org.springframework,spring-beans,5.3.7,"[['CVE-2022-22965', '9.8', 'CRITICAL']]",9.8,9.8
org.springframework,spring-core,5.3.7,"[['CVE-2021-22060', '4.3', 'MEDIUM'], ['CVE-2022-22968', '5.3', 'MEDIUM'], ['CVE-2022-22965', '9.8', 'CRITICAL'], ['CVE-2022-22950', '6.5', 'MEDIUM']]",6.475,25.9
org.springframework,spring-beans,5.3.6,"[['CVE-2022-22965', '9.8', 'CRITICAL']]",9.8,9.8
org.springframework,spring-core,5.3.6,"[['CVE-2021-22060', '4.3', 'MEDIUM'], ['CVE-2022-22968', '5.3', 'MEDIUM'], ['CVE-2022-22965', '9.8', 'CRITICAL'], ['CVE-2022-22950', '6.5', 'MEDIUM']]",6.475,25.9
org.springframework,spring-beans,5.3.5,"[['CVE-2022-22965', '9.8', 'CRITICAL']]",9.8,9.8
org.springframework,spring-core,5.3.5,"[['CVE-2021-22060', '4.3', 'MEDIUM'], ['CVE-2022-22968', '5.3', 'MEDIUM'], ['CVE-2022-22965', '9.8', 'CRITICAL'], ['CVE-2022-22950', '6.5', 'MEDIUM']]",6.475,25.9
org.springframework,spring-beans,5.3.4,"[['CVE-2022-22965', '9.8', 'CRITICAL']]",9.8,9.8
org.springframework,spring-core,5.3.4,"[['CVE-2021-22060', '4.3', 'MEDIUM'], ['CVE-2022-22968', '5.3', 'MEDIUM'], ['CVE-2022-22965', '9.8', 'CRITICAL'], ['CVE-2022-22950', '6.5', 'MEDIUM']]",6.475,25.9
org.springframework,spring-beans,5.3.3,"[['CVE-2022-22965', '9.8', 'CRITICAL']]",9.8,9.8
org.springframework,spring-core,5.3.3,"[['CVE-2021-22060', '4.3', 'MEDIUM'], ['CVE-2022-22968', '5.3', 'MEDIUM'], ['CVE-2022-22965', '9.8', 'CRITICAL'], ['CVE-2022-22950', '6.5', 'MEDIUM']]",6.475,25.9
org.springframework,spring-beans,5.3.2,"[['CVE-2022-22965', '9.8', 'CRITICAL']]",9.8,9.8
org.springframework,spring-core,5.3.2,"[['CVE-2021-22060', '4.3', 'MEDIUM'], ['CVE-2022-22968', '5.3', 'MEDIUM'], ['CVE-2022-22965', '9.8', 'CRITICAL'], ['CVE-2022-22950', '6.5', 'MEDIUM']]",6.475,25.9
org.springframework,spring-beans,5.3.1,"[['CVE-2022-22965', '9.8', 'CRITICAL']]",9.8,9.8
